data,municipio,1a_dose,2a_dose,aplicadas_dia,total_doses,doses_recebidas,perc_aplicadas,perc_vacinadas_1a_dose,perc_vacinadas_2a_dose,populacao
13/02/2021,ASPASIA,82,,,,,,4.645892351274788,,1765.0
13/02/2021,ASSIS,4421,,,,,,4.360777660508379,,101381.0
13/02/2021,ATIBAIA,6647,,,,,,4.761256679512342,,139606.0
13/02/2021,AURIFLAMA,454,,,,,,3.137309100960542,,14471.0
13/02/2021,AVAI,497,,,,,,9.398638426626324,,5288.0
13/02/2021,AVANHANDAVA,322,,,,,,2.658081558527324,,12114.0
13/02/2021,AVARE,4348,,,,,,4.966985766181544,,87538.0
13/02/2021,BADY BASSITT,672,,,,,,4.115377549145692,,16329.0
13/02/2021,BALBINOS,108,,,,,,2.915766738660907,,3704.0
13/02/2021,BALSAMO,420,,,,,,4.927264195213515,,8524.0
13/02/2021,BANANAL,430,,,,,,4.037179607548587,,10651.0
13/02/2021,BARAO DE ANTONINA,194,,,,,,5.734555128584097,,3383.0
13/02/2021,BARBOSA,317,,,,,,4.352004393190555,,7284.0
13/02/2021,BARIRI,1538,,,,,,4.524460918424381,,33993.0
13/02/2021,BARRA BONITA,1732,,,,,,4.960760726356189,,34914.0
13/02/2021,BARRA DO CHAPEU,115,,,,,,2.079566003616637,,5530.0
13/02/2021,BARRA DO TURVO,437,,,,,,5.684922596591648,,7687.0
13/02/2021,BARRETOS,8187,,,,,,6.935314448359989,,118048.0
13/02/2021,BARRINHA,555,,,,,,1.7162471395881007,,32338.0
13/02/2021,BARUERI,10509,,,,,,3.9748099398615686,,264390.0
13/02/2021,BASTOS,572,,,,,,2.817595192355056,,20301.0
13/02/2021,BATATAIS,1197,,,,,,1.9876457108697816,,60222.0
13/02/2021,BAURU,17822,,,,,,4.893129247031368,,364225.0
13/02/2021,BEBEDOURO,2786,,,,,,3.75699548243544,,74155.0
13/02/2021,BENTO DE ABREU,91,,,,,,3.089983022071307,,2945.0
13/02/2021,BERNARDINO DE CAMPOS,463,,,,,,4.292203578381385,,10787.0
13/02/2021,BERTIOGA,1248,,,,,,1.971875493758888,,63290.0
13/02/2021,BILAC,464,,,,,,5.93654042988741,,7816.0
13/02/2021,BIRIGUI,2262,,,,,,1.864352298296368,,121329.0
13/02/2021,BIRITIBA-MIRIM,600,,,,,,,,
13/02/2021,BOA ESPERANCA DO SUL,414,,,,,,2.8391167192429023,,14582.0
13/02/2021,BOCAINA,461,,,,,,3.798928718582612,,12135.0
13/02/2021,BOFETE,207,,,,,,1.868905742145179,,11076.0
13/02/2021,BOITUVA,1108,,,,,,1.9339523842770368,,57292.0
13/02/2021,BOM JESUS DOS PERDOES,435,,,,,,1.790786711127578,,24291.0
13/02/2021,BOM SUCESSO DE ITARARE,103,,,,,,2.667702667702668,,3861.0
13/02/2021,BORA,60,,,,,,7.389162561576355,,812.0
13/02/2021,BORACEIA,162,,,,,,3.404076486656861,,4759.0
13/02/2021,BORBOREMA,592,,,,,,3.863473210206879,,15323.0
13/02/2021,BOREBI,76,,,,,,2.9468786351298952,,2579.0
13/02/2021,BOTUCATU,11072,,,,,,7.844971126935203,,141135.0
13/02/2021,BRAGANCA PAULISTA,7113,,,,,,4.33772411269667,,163980.0
13/02/2021,BRAUNA,272,,,,,,4.899135446685879,,5552.0
13/02/2021,BREJO ALEGRE,111,,,,,,4.010115606936416,,2768.0
13/02/2021,BRODOWSKI,828,,,,,,3.45821325648415,,23943.0
13/02/2021,BROTAS,594,,,,,,2.490566037735849,,23850.0
13/02/2021,BURI,347,,,,,,1.7633905884744383,,19678.0
13/02/2021,BURITAMA,739,,,,,,4.452880212099301,,16596.0
13/02/2021,BURITIZAL,247,,,,,,5.734850243789181,,4307.0
13/02/2021,CABRALIA PAULISTA,154,,,,,,3.574744661095636,,4308.0
13/02/2021,CABREUVA,24,,,,,,0.0485535100141614,,49430.0
13/02/2021,CACAPAVA,2489,,,,,,2.72865803523466,,91217.0
13/02/2021,CACHOEIRA PAULISTA,1178,,,,,,3.654866432937234,,32231.0
13/02/2021,CACONDE,493,,,,,,2.6148297443513315,,18854.0
13/02/2021,CAFELANDIA,143,,,,,,0.8292739503595454,,17244.0
13/02/2021,CAIABU,107,,,,,,2.607847916158908,,4103.0
13/02/2021,CAIEIRAS,2552,,,,,,2.536476762215243,,100612.0
13/02/2021,CAIUA,181,,,,,,3.232142857142857,,5600.0
13/02/2021,CAJAMAR,962,,,,,,1.2392595359861904,,77627.0
13/02/2021,CAJATI,398,,,,,,1.3727924944812362,,28992.0
13/02/2021,CAJOBI,528,,,,,,5.225136071251855,,10105.0
13/02/2021,CAJURU,776,,,,,,3.0238085960331995,,25663.0
13/02/2021,CAMPINA DO MONTE ALEGRE,162,,,,,,2.7873365450791465,,5812.0
13/02/2021,CAMPINAS,57250,,,,,,4.870263827933791,,1175501.0
13/02/2021,CAMPO LIMPO PAULISTA,2079,,,,,,2.5095965814441947,,82842.0
13/02/2021,CAMPOS DO JORDAO,1603,,,,,,3.1984516540963326,,50118.0
13/02/2021,CAMPOS NOVOS PAULISTA,156,,,,,,3.238530205522109,,4817.0
13/02/2021,CANANEIA,407,,,,,,3.297949923020825,,12341.0
13/02/2021,CANAS,65,,,,,,1.283570300157978,,5064.0
13/02/2021,CANDIDO MOTA,857,,,,,,2.854858589559945,,30019.0
13/02/2021,CANDIDO RODRIGUES,139,,,,,,5.198204936424832,,2674.0
13/02/2021,CANITAR,148,,,,,,2.965337607693849,,4991.0
13/02/2021,CAPAO BONITO,1312,,,,,,2.8264897238140376,,46418.0
13/02/2021,CAPELA DO ALTO,312,,,,,,1.5188394508811216,,20542.0
13/02/2021,CAPIVARI,618,,,,,,1.1395696188526858,,54231.0
13/02/2021,CARAGUATATUBA,3090,,,,,,2.6613611699653763,,116106.0
13/02/2021,CARAPICUIBA,4998,,,,,,1.266605507377128,,394598.0
