data,hospital,leitos,comum,uti,ocupação_comum,ocupação_uti,altas,óbitos,transferidos,chegando
06/07/2020,Anhembi,887,813,74,163,4,36,0,5,32
07/07/2020,Anhembi,887,813,74,158,7,32,0,4,45
08/07/2020,Anhembi,887,813,74,151,11,25,0,8,37
09/07/2020,Anhembi,887,813,74,160,6,20,0,13,33
10/07/2020,Anhembi,887,813,74,175,7,25,0,4,35
11/07/2020,Anhembi,887,813,74,189,9,33,0,5,55
12/07/2020,Anhembi,887,813,74,188,9,22,0,6,24
13/07/2020,Anhembi,887,813,74,177,5,31,0,7,17
14/07/2020,Anhembi,887,813,74,190,9,35,0,11,64
15/07/2020,Anhembi,887,813,74,201,11,24,0,10,28
16/07/2020,Anhembi,887,813,74,202,13,38,1,7,45
17/07/2020,Anhembi,887,813,74,216,7,31,1,10,44
18/07/2020,Anhembi,887,813,74,220,8,36,0,5,43
19/07/2020,Anhembi,887,813,74,223,12,36,0,5,55
20/07/2020,Anhembi,887,813,74,204,10,33,0,3,17
21/07/2020,Anhembi,887,813,74,199,8,37,0,12,35
22/07/2020,Anhembi,887,813,74,185,9,28,0,12,16
23/07/2020,Anhembi,887,813,74,191,10,29,0,6,26
24/07/2020,Anhembi,887,813,74,177,10,36,0,8,25
25/07/2020,Anhembi,887,813,74,162,10,29,0,6,22
26/07/2020,Anhembi,887,813,74,151,3,39,0,8,25
27/07/2020,Anhembi,887,813,74,139,2,22,0,5,24
28/07/2020,Anhembi,887,813,74,135,2,33,0,5,32
